;C11.wav;C11.wav;C11.wav;C51.wav;C51.wav;C51.wav;C61.wav;C61.wav;C61.wav;C71.wav;C71.wav;C71.wav;R4_krociutko.wav;R4_krociutko.wav;R4_krociutko.wav;R4_krotko.wav;R4_krotko.wav
;C61.wav;R1.wav;R150-1.wav;C61.wav;R1.wav;R150-1.wav;C61.wav;R1.wav;R150-1.wav;C61.wav;R1.wav;R150-1.wav;C61.wav;R1.wav;R150-1.wav;C61.wav;R1.wav
0;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;
2;9.257798388540346;11.782733612847679;9.540619367770775;5.362382279808757;5.642634627864855;7.860497136919783;0.0;6.770309023810414;7.952489402524004;10.550161471536958;12.687113571774782;7.595070754762707;6.422423847576631;8.106774251959735;8.017117365307612;6.422427301123364;8.337180656547766
3;9.272546849452269;11.782751054512483;9.540625546121717;5.359752506756679;5.641282092264413;7.859741407500684;;6.770192933173246;7.952652583700986;10.550752932095335;12.655820898697286;7.595072689042426;6.427599711688932;8.105724133036878;8.017094564739503;6.427605924644512;8.48773018978356
4;9.30473244528586;11.782804005986577;9.540637001984624;;5.642144783498855;7.860198070952923;;6.770296914506705;7.952860929999766;10.549980834464419;12.619849424927944;7.595106273696101;6.427051310754324;8.105385132476531;8.017693859225783;6.4270585408437615;8.722631092436837
5;9.338248929256334;11.78282095026236;9.54064571093993;;5.642433506050806;7.8605185323203886;;6.770346575889687;7.952945475166645;10.549733344269367;12.555554846440538;7.595129885878536;6.419196190944655;8.10535761566606;8.018338498008825;6.419196583838689;9.071772444010179
6;9.355168542616095;11.782845872261674;9.540650025785867;;5.6424974160387436;7.860641876556571;;6.770384706348617;7.952981213693505;10.549733251214306;12.510653302739252;7.595134025303185;6.426174817113903;8.10533557388507;8.018452363676252;6.426181020085516;9.356947222364461
7;9.38261866148329;11.782843225588948;9.540652983862884;;5.642545231310566;7.860686095182048;;6.770462926895199;7.953002554940005;10.549732832404457;12.505837308403224;;6.365589107370795;8.105325205222181;8.018633661344483;6.365582844317538;9.482625927668314
8;9.390950567030266;11.783030045118236;9.540652856430853;;5.642609108170333;7.860712269466985;;6.770703659640069;7.9530176268499915;10.54975483235351;12.474823672937909;;;8.105246616807621;8.018685828449883;6.390005663724469;9.543086158008677
9;9.422188907069247;11.782073237351538;9.540651420262634;;5.64266538511823;7.860725071851107;;6.7707965584661585;7.95302080787811;10.549773783136397;12.436561639896258;;;8.10525110699746;8.018688693139824;6.262579067228423;9.626837216545713
10;9.490465897343363;11.730866844732477;9.540655927204364;;5.643089028621518;7.86073513038916;;6.7709020139822975;7.953021927198493;10.549715298958434;12.432033022475698;;;8.104949576497528;8.018691039125967;6.221367949175498;9.671870370930176
11;;11.69048430749867;9.461336504697105;;5.643190608414808;7.699246627660801;;6.770924241239921;7.821764519260203;10.45572695114746;12.422644980800854;;;8.104781475887672;8.148488830312042;6.196842781212311;9.688887182296144
12;;11.608740667369743;10.515580078079532;;5.643267760421963;7.907343630608852;;6.770971907418222;7.797366686630568;9.985559935404394;12.383799441120107;;;8.100304312862116;8.773604000223925;6.261020752355287;9.669362698886564
13;;11.554628520756275;10.150368138477177;;5.643314426964894;7.069396615746012;;6.771016107276537;7.1865835235707625;9.810517416934635;12.37696283218215;;;8.009094127738887;8.39576397096112;6.279589353657239;10.096900008653163
14;;11.524001543350588;9.905593264469621;;5.643346324703972;6.159543228860664;;6.771047162227118;6.538347462338293;9.284674611155864;12.379756634837959;;;7.9266833782417505;7.682327583674899;6.292085916145014;10.60196008396679
15;;11.518713745603952;9.76371716758879;;5.643378933675036;5.966012924802169;;6.771066794380916;6.075177781084322;8.760498876813251;12.409167106023315;;;7.880105109052468;7.421119282892512;6.254545069764596;11.095266468413802
